"","ID","SubOrder","Genus","Species","CommonName","SpName","SpCode","SpeciesID"
"1",1,"CETACEA","Mesoplodon","peruvianus","Pygmy beaked whale","M per","001","001"
"2",2,"CETACEA","Stenella","attenuata","Pantropical spotted dolphin","S att","002","002"
"3",3,"CETACEA","Stenella","longirostris","unidentified spinner dolphin","S lon","003","003"
"4",4,"CETACEA","Stenella","clymene","Clymene dolphin","S cly","004","004"
"5",5,"CETACEA","Delphinus","spp","Unidentified common dolphin","D spp","005","005"
"6",6,"CETACEA","Stenella","attenuata","Coastal spotted dolphin","S att","006","006"
"7",7,"CETACEA","Sotalia","fluviatilis","Tucuxi","S flu","007","007"
"8",8,"CETACEA","Orcaella","brevirostris","Irrawady dolphin","O bre","008","008"
"9",9,"CETACEA","Phocoena","dioptrica","spectacled porpoise","P dio","009","009"
"10",10,"CETACEA","Stenella","longirostris","Eastern spinner dolphin","S lon","010","010"
"11",11,"CETACEA","Stenella","longirostris","Whitebelly spinner dolphin","S lon","011","011"
"12",12,"CETACEA","Lagenorhynchus","albirostris","White-beaked dolphin","L alb","012","012"
"13",13,"CETACEA","Stenella","coeruleoalba","Striped dolphin","S coe","013","013"
"14",14,"CETACEA","Leucopleurus","acutus","Atlantic white-sided dolphin","L acu","014","014"
"15",15,"CETACEA","Steno","bredanensis","Rough-toothed dolphin","S bre","015","015"
"16",16,"CETACEA","Delphinus","capensis","Long-beaked common dolphin","D cap","016","016"
"17",17,"CETACEA","Delphinus","delphis","Short-beaked common dolphin","D del","017","017"
"18",18,"CETACEA","Tursiops","truncatus","Bottlenose dolphin","T tru","018","018"
"19",19,"CETACEA","Cephalorhynchus","heavisidii","Heaviside's dolphin","C hea","019","019"
"20",20,"CETACEA","Cephalorhynchus","hectori","Hector's dolphin","C hec","020","020"
"21",21,"CETACEA","Grampus","griseus","Risso's dolphin","G gri","021","021"
"22",22,"CETACEA","Aethalodelphis","obliquidens","Pacific white-sided dolphin","A obl","022","022"
"23",23,"CETACEA","Cephalorhynchus","australis","Peale's dolphin","C aus","023","023"
"24",24,"CETACEA","Cephalorhynchus","cruciger","Hourglass dolphin","C cru","024","024"
"25",25,"CETACEA","Aethalodelphis","obscurus","Dusky dolphin","A obs","025","025"
"26",26,"CETACEA","Lagenodelphis","hosei","Fraser's dolphin","L hos","026","026"
"27",27,"CETACEA","Lissodelphis","borealis","Northern right whale dolphin","L bor","027","027"
"28",28,"CETACEA","Lissodelphis","peronii","Southern right whale dolphin","L per","028","028"
"29",29,"CETACEA","Cephalorhynchus","eutropia","Black dolphin","C eut","029","029"
"30",30,"CETACEA","Cephalorhynchus","commersonii","Commerson's dolphin","C com","030","030"
"31",31,"CETACEA","Peponocephala","electra","Melon-headed whale","P ele","031","031"
"32",32,"CETACEA","Feresa","attenuata","Pygmy killer whale","F att","032","032"
"33",33,"CETACEA","Pseudorca","crassidens","False killer whale","P cra","033","033"
