ID,Specimen,Age,IsAnalysisQuality,EstimationMethod,AgeReader1,ReaderID1,AgeReader2,ReaderID2,AgeReader3,ReaderID3,AgeReader4,ReaderID4,EditDate,EditUser,RecordCreationDate
1,07-002-DE,20.8,Y,Mean                ,20.7,24,21,19,NA,NA,NA,NA,2016-11-09 12:04:35.66,Kerri.Danil,2014-05-15
2,AAH0001,30,Y,Mean Reader 1       ,30,24,21,19,NA,NA,NA,NA,2016-11-09 11:37:00.193,Kerri.Danil,2014-05-15
3,ABC0003,11.3333333333333,Y,Mean Reader 1 & 2   ,10.6666666666667,24,12,19,NA,NA,NA,NA,2016-05-03 15:49:31.443,Kerri.Danil,2016-05-03 15:44:32.3
4,ACM0003,11.5,Y,Mean                ,12,6,11,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
5,ACM0005,10.75,Y,Mean                ,9.5,6,12,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
6,ACM0007,9.25,Y,Mean                ,8,6,10.5,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
7,ACM0011,7.13,Y,Mean                ,7.25,6,7,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
8,ACM0012,1.05,Y,Mean                ,1.1,6,1,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
9,ACM0017,4.75,Y,Mean                ,4.5,6,5,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
10,ACM0018,1.35,Y,Mean                ,1.2,6,1.5,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11,ADB0005,11.33,Y,Mean: ReaderID_1 & 2,11.67,6,11,18,7.6,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
12,ADB0006,7.8,Y,NA,7.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
13,ADB0007,0.6,Y,NA,0.6,1,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
14,ADB0008,8.7,Y,NA,8.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
15,ADB0037,0.6,Y,NA,0.6,1,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
16,ADB0056,10.6,Y,NA,10.6,1,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
17,ADB0057,7.7,Y,NA,7.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
18,ADB0058,9.5,Y,Mean: ReaderID_1 & 2,9,6,10,9,5.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
19,ADB0059,13,Y,Mean: ReaderID_1 & 2,12,6,14,9,5.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
20,ADB0060,7.6,Y,NA,7.6,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
21,ADB0063,15,Y,Mean: ReaderID_1 & 2,16,6,14,9,16.7,1,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
22,ADB0064,11,Y,Mean: ReaderID_1 & 2,12,6,10,9,12,1,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
23,ADB0066,26,Y,Mean: ReaderID_1 & 2,30,6,22,9,9.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
24,ADB0071,3.7,Y,NA,3.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
25,ADB0073,8.7,Y,NA,8.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
26,ADB0074,10.25,Y,Mean: ReaderID_1 & 2,9.5,6,11,9,6.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
27,ADB0077,5.8,Y,NA,5.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
28,ADB0080,8.7,Y,NA,8.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
29,ADB0082,16,Y,Mean: ReaderID_1 & 2,17,6,15,9,8.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
30,ADB0083,2.05,Y,Mean: ReaderID_1 & 2,2.1,6,2,9,4.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
31,ADB0086,14.5,Y,Mean: ReaderID_1 & 2,16,6,13,9,7.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
32,ADB0087,9,Y,NA,9,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
33,ADB0088,5.7,Y,NA,5.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
34,ADB0089,4.7,Y,NA,4.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
35,ADB0090,12.9,Y,NA,12.9,1,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
36,ADB0091,2.25,Y,Mean: ReaderID_1 & 2,2.5,6,2,9,3.5,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
37,ADB0093,6.8,Y,NA,6.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
38,ADB0094,5.7,Y,NA,5.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
39,ADB0108,12.6,Y,NA,12.6,1,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
40,ADB0109,10.25,Y,Mean: ReaderID_1 & 2,7.5,6,13,9,10.7,1,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
41,ADB0110,12.5,Y,Mean: ReaderID_1 & 2,11,6,14,9,9.5,1,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
42,ADB0111,2.45,Y,Mean: ReaderID_1 & 2,2.5,6,2.4,9,2,1,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
43,ADB0124,11.75,Y,Mean: ReaderID_1 & 2,12,6,11.5,9,7.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
44,ADB0138,4.6,Y,NA,4.6,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
45,ADB0139,14.5,Y,Mean: ReaderID_1 & 2,15,6,14,9,7.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
46,ADB0142,8.7,Y,NA,8.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
47,ADB0143,0.85,Y,Mean: ReaderID_1 & 2,0.7,6,1,9,0.9,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
48,ADB0144,5.25,Y,Mean: ReaderID_1 & 2,5,6,5.5,9,5.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
49,ADB0163,5,Y,Mean: ReaderID_1 & 2,4.5,6,5.5,9,5.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
50,ADB0164,6.9,Y,NA,6.9,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
51,ADB0168,12.75,Y,Mean: ReaderID_1 & 2,12,6,13.5,9,9.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
52,ADB0169,6.8,Y,NA,6.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
53,ADB0171,9,Y,Mean: ReaderID_1 & 2,8,6,10,9,5.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
54,ADB0173,9.5,Y,Mean: ReaderID_1 & 2,10,6,9,9,7.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
55,ADB0176,4.6,Y,NA,4.6,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
56,ADB0177,14.5,Y,Mean: ReaderID_1 & 2,15,6,14,9,7.5,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
57,ADB0179,12.75,Y,Mean: ReaderID_1 & 2,13,6,12.5,9,6.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
58,ADB0180,7.8,Y,NA,7.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
59,ADB0181,8,Y,Mean: ReaderID_1 & 2,9,6,7,9,6.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
60,ADB0182,2.75,Y,Mean: ReaderID_1 & 2,2.5,6,3,9,4.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
61,ADB0183,2.5,Y,Mean: ReaderID_1 & 2,2.5,6,2.5,9,4,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
62,ADB0184,8.8,Y,NA,8.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
63,ADB0195,7.8,Y,NA,7.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
64,ADB0196,16,Y,Mean: ReaderID_1 & 2,18,6,14,9,8.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
65,ADO0019,36,Y,Mean                ,36,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
66,ADO0022,15,Y,Mean                ,15,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
67,ADO0024,19,Y,Mean                ,19,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
68,ADO0025,33,Y,Mean                ,33,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
69,ADO0028,7,Y,Mean                ,7,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
70,ADO0029,17,Y,Mean                ,17,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
71,ADO0032,17,Y,Mean                ,17,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
72,ADO0033,3,Y,Mean                ,3,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
73,ADO0036,8,Y,Mean                ,8,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
74,ADO0037,23,Y,Mean                ,23,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
75,ADO0040,8,Y,Mean                ,8,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
76,ADO0043,9,Y,Mean                ,9,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
77,ADO0044,10,Y,Mean                ,10,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
78,ADO0045,19,Y,Mean                ,19,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
79,ADO0049,2.5,Y,Mean                ,2.5,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
80,ADO0050,28,Y,Mean                ,28,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
81,ADO0051,1,Y,NA,1,9,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-21 17:22:07.837
82,ADO0052,0.875,Y,NA,0.875,25,0.875,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-22 11:02:42.78
83,ADO0053,21,Y,Mean                ,21,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
84,AEC0216,1.91666666666667,Y,Mean                ,1.83333333333333,20,2,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
85,AEC0220,3,Y,Mean                ,3.16666666666667,20,2.83333333333333,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
86,AEC0226,5.83333333333333,Y,Mean                ,5.66666666666667,20,6,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
87,AEC0227,3.16666666666667,Y,Mean                ,3,20,3.33333333333333,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
88,AEC0351,15.5,Y,Mean                ,17,20,14,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
89,AEC0353,1.16666666666667,Y,Mean                ,1.08333333333333,20,1.25,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
90,AEC0355,5.58333333333333,Y,Mean                ,4.5,20,6.66666666666667,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
91,AEC0356,13.3333333333333,Y,Mean                ,14,20,12.6666666666667,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
92,AEC0358,14.2916666666667,Y,Mean                ,17.25,20,11.3333333333333,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
93,AEC0363,5.83333333333333,Y,Mean                ,5.33333333333333,20,6.33333333333333,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
94,AEC0366,13.7916666666667,Y,Mean                ,14.25,20,13.3333333333333,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
95,AEC0372,6.33333333333333,Y,Mean                ,5,20,7.66666666666667,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
96,AEC0383,13.75,Y,Mean                ,14.5,20,13,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
97,AEC0384,16.8333333333333,Y,Mean                ,17.3333333333333,20,16.3333333333333,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
98,AEC0390,13,Y,Mean                ,15.3333333333333,20,10.6666666666667,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
99,AEC0391,11.6666666666667,Y,Mean                ,11.3333333333333,20,12,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
100,AEC0393,0.25,Y,Mean                ,0.25,20,0.25,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
101,AEC0395,1.72916666666667,Y,Mean                ,1.625,20,1.83333333333333,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
102,AEC0398,9.45833333333333,Y,Mean                ,9.25,20,9.66666666666667,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
103,AEC0400,5.66666666666667,Y,Mean                ,5.66666666666667,20,5.66666666666667,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
104,AEC0458,0.708333333333333,Y,Mean                ,0.5,20,0.916666666666667,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
105,AEC0513,15.5,Y,Mean                ,18,20,13,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
106,AEC0529,10.0833333333333,Y,Mean                ,9.5,20,10.6666666666667,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
107,AEC0530,16.7916666666667,Y,Mean                ,20.25,20,13.3333333333333,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
108,AEC0542,14,Y,Mean                ,14,20,14,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
109,AEC0606,4.29166666666667,Y,Mean                ,4.25,20,4.33333333333333,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
110,AEC0608,14.8333333333333,Y,Mean                ,16,20,13.6666666666667,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
111,AFG0019,1.05,Y,Mean                ,1.1,6,1,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
112,AFG0023,4.75,Y,Mean                ,5,6,4.5,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
113,AGA0006,13.8333333333333,Y,Mean                ,14.6666666666667,20,13,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
114,AGA0011,12.7083333333333,Y,Mean                ,13.75,20,11.6666666666667,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
115,AGA0012,15.4166666666667,Y,Mean                ,17.5,20,13.3333333333333,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
116,AGA0014,9.16666666666667,Y,Mean                ,9,20,9.33333333333333,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
117,AGA0015,12.1666666666667,Y,Mean                ,12.3333333333333,20,12,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
118,AGA0016,14,Y,Mean                ,13.6666666666667,20,14.3333333333333,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
119,AGR0003,18,Y,Mean                ,16,6,20,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
120,AGR0004,11.5,Y,Mean                ,12,6,11,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
121,AGR0009,0,Y,Mean                ,NA,6,0,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
122,AGR0010,21.75,Y,Mean                ,22.5,6,21,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
123,AGR0013,28,Y,Mean                ,28,6,NA,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
124,AGR0016,9.66666666666667,Y,Mean                ,10.3333333333333,20,9,21,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
125,AGR0020,10,Y,Mean                ,10,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
