Specimen,Skull_RostralLength,Skull_ZygomaticWidth,MeasureDate,MeasureBy,LGTHROW_U,LGTHROW_L,N_Total_Vertebrae,N_Cervical_Vetebrae,N_Thoracic_Vetebrae,N_Lumbar_Vetebrae,N_Caudal_Vetebrae,N_Ribs,N_DoubleHead,N_SingleHead,N_Chevron,N_Teeth_UpperL,N_Teeth_LowerL,N_Teeth_UpperR,N_Teeth_LowerR,EditDate,EditUser,RecordCreationDate
AXB0023,NA,NA,NA,NA,NA,NA,NA,7,16,21,36,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.17,Susan.Chivers,2017-09-14 12:43:48.17
BDJ0009,NA,NA,NA,NA,NA,NA,NA,7,16,23,32,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.173,Susan.Chivers,2017-09-14 12:43:48.173
BJD0006,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.177,Susan.Chivers,2017-09-14 12:43:48.177
BJD0017,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.18,Susan.Chivers,2017-09-14 12:43:48.18
BL 0003,NA,NA,NA,NA,NA,NA,NA,7,12,22,33,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.183,Susan.Chivers,2017-09-14 12:43:48.183
BXR0017,50.7999992370605,20.1000003814697,NA,NA,24.5,23.5,NA,NA,13,14,32,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.187,Susan.Chivers,2017-09-14 12:43:48.187
DAA0169,NA,NA,NA,NA,NA,NA,NA,7,16,20,38,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.193,Susan.Chivers,2017-09-14 12:43:48.193
DAA0170,NA,NA,NA,NA,NA,NA,NA,7,15,17,35,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.197,Susan.Chivers,2017-09-14 12:43:48.197
DBF0010,NA,NA,NA,NA,NA,NA,NA,7,16,16,34,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.2,Susan.Chivers,2017-09-14 12:43:48.2
DBF0012,NA,NA,NA,NA,NA,NA,NA,7,17,17,32,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:43:48.203,Susan.Chivers,2017-09-14 12:43:48.203
