ID,Specimen,GonadTypeID,Side,IsDry,DryBox,CurateDate,EditDate,EditUser,RecordCreationDate
1,AAH0001,1,L,Y,2,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
2,ADB0044,1,L,Y,6,2012-05-30,2017-10-25 11:30:37.323,Susan.Chivers,NA
3,ADB0064,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
4,ADB0082,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
5,ADB0107,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
6,ADB0112,1,L,Y,3,2012-05-30,2017-10-25 11:24:59.04,Susan.Chivers,NA
7,ADB0116,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
8,ADB0119,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
9,ADB0123,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
10,ADB0139,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
11,ADB0158,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
12,ADB0168,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
13,ADB0174,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
14,ADB0178,1,L,Y,NA,NA,2017-10-25 11:30:37.323,Susan.Chivers,NA
15,ADO0024,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
16,ADO0028,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
17,ADO0029,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
18,ADO0049,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
19,ADO0051,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
20,ADO0052,1,L,Y,NA,NA,2018-05-10 09:33:24.247,Kerri.Danil,NA
21,ADO0056,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
22,AEC0009,1,L,Y,16,2019-07-17,2019-07-17 10:22:56.347,Kerri.Danil,NA
23,AEC0010,1,L,Y,16,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
24,AEC0014,1,L,Y,16,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
