ID,Specimen,CollectionID,AccessionNumber,EditDate,EditUser,RecordCreationDate
1,CV 0305,1,395459,2017-11-07 13:55:12.387,NA,2017-11-07 13:55:12.387
2,CV 0306,1,395460,2017-11-07 13:55:12.617,NA,2017-11-07 13:55:12.617
3,CV 0287,1,395417,2017-11-07 13:55:12.84,NA,2017-11-07 13:55:12.84
4,CV 0304,1,395458,2017-11-07 13:55:13.06,NA,2017-11-07 13:55:13.06
5,CV 0307,1,395461,2017-11-07 13:55:13.287,NA,2017-11-07 13:55:13.287
6,CV 0308,1,395462,2017-11-07 13:55:13.51,NA,2017-11-07 13:55:13.51
7,PQ 0004,1,395410,2017-11-07 13:55:13.737,NA,2017-11-07 13:55:13.737
8,CV 0310,1,395464,2017-11-07 13:55:13.957,NA,2017-11-07 13:55:13.957
9,CV 0311,1,395465,2017-11-07 13:55:14.183,NA,2017-11-07 13:55:14.183
10,CV 0312,1,395466,2017-11-07 13:55:14.417,NA,2017-11-07 13:55:14.417
11,CV 0309,1,395463,2017-11-07 13:55:14.637,NA,2017-11-07 13:55:14.637
12,PQ 0002,1,395408,2017-11-07 13:55:14.863,NA,2017-11-07 13:55:14.863
13,PQ 0001,1,395407,2017-11-07 13:55:15.087,NA,2017-11-07 13:55:15.087
14,CV 0286,1,395397,2017-11-07 13:55:15.307,NA,2017-11-07 13:55:15.307
15,CV 0284,1,395395,2017-11-07 13:55:15.547,NA,2017-11-07 13:55:15.547
16,CV 0282,1,395393,2017-11-07 13:55:15.77,NA,2017-11-07 13:55:15.77
17,CV 0300,1,395532,2017-11-07 13:55:15.99,NA,2017-11-07 13:55:15.99
18,CV 0281,1,395392,2017-11-07 13:55:16.23,NA,2017-11-07 13:55:16.23
19,CV 0280,1,395391,2017-11-07 13:55:16.45,NA,2017-11-07 13:55:16.45
20,CWO0254,1,487236,2017-11-07 13:55:16.677,NA,2017-11-07 13:55:16.677
21,CV 0279,1,395390,2017-11-07 13:55:16.897,NA,2017-11-07 13:55:16.897
22,CWO0256,1,487237,2017-11-07 13:55:17.12,NA,2017-11-07 13:55:17.12
23,CV 0278,1,395389,2017-11-07 13:55:17.347,NA,2017-11-07 13:55:17.347
24,CV 0277,1,395388,2017-11-07 13:55:17.57,NA,2017-11-07 13:55:17.57
25,CV 0276,1,395387,2017-11-07 13:55:17.797,NA,2017-11-07 13:55:17.797
26,CV 0283,1,395394,2017-11-07 13:55:18.017,NA,2017-11-07 13:55:18.017
27,CV 0328,1,395617,2017-11-07 13:55:18.24,NA,2017-11-07 13:55:18.24
28,CV 0297,1,395529,2017-11-07 13:55:18.47,NA,2017-11-07 13:55:18.47
29,CV 0322,1,395610,2017-11-07 13:55:18.693,NA,2017-11-07 13:55:18.693
30,CV 0323,1,395611,2017-11-07 13:55:18.917,NA,2017-11-07 13:55:18.917
31,CV 0324,1,395612,2017-11-07 13:55:19.157,NA,2017-11-07 13:55:19.157
32,CV 0325,1,395613,2017-11-07 13:55:19.377,NA,2017-11-07 13:55:19.377
33,CV 0320,1,395608,2017-11-07 13:55:19.597,NA,2017-11-07 13:55:19.597
34,CV 0327,1,395616,2017-11-07 13:55:19.817,NA,2017-11-07 13:55:19.817
35,CV 0319,1,395607,2017-11-07 13:55:20.037,NA,2017-11-07 13:55:20.037
36,CV 0329,1,395618,2017-11-07 13:55:20.257,NA,2017-11-07 13:55:20.257
37,WFP0066,1,396018,2017-11-07 13:55:20.48,NA,2017-11-07 13:55:20.48
38,WFP0068,1,396020,2017-11-07 13:55:20.7,NA,2017-11-07 13:55:20.7
39,WFP0070,1,396022,2017-11-07 13:55:20.923,NA,2017-11-07 13:55:20.923
40,WFP0072,1,396024,2017-11-07 13:55:21.15,NA,2017-11-07 13:55:21.15
41,WFP0073,1,396025,2017-11-07 13:55:21.373,NA,2017-11-07 13:55:21.373
42,CV 0326,1,395615,2017-11-07 13:55:21.597,NA,2017-11-07 13:55:21.597
43,CV 0291,1,395596,2017-11-07 13:55:21.823,NA,2017-11-07 13:55:21.823
44,CV 0314,1,395468,2017-11-07 13:55:22.047,NA,2017-11-07 13:55:22.047
45,CV 0295,1,395527,2017-11-07 13:55:22.27,NA,2017-11-07 13:55:22.27
46,CV 0275,1,395386,2017-11-07 13:55:22.48,NA,2017-11-07 13:55:22.48
47,CV 0298,1,395530,2017-11-07 13:55:22.703,NA,2017-11-07 13:55:22.703
48,CV 0303,1,395535,2017-11-07 13:55:22.923,NA,2017-11-07 13:55:22.923
49,CV 0321,1,395609,2017-11-07 13:55:23.15,NA,2017-11-07 13:55:23.15
50,CV 0290,1,395595,2017-11-07 13:55:23.37,NA,2017-11-07 13:55:23.37
51,CV 0313,1,395467,2017-11-07 13:55:23.677,NA,2017-11-07 13:55:23.677
52,CV 0092,1,395597,2017-11-07 13:55:23.897,NA,2017-11-07 13:55:23.897
53,CV 0293,1,395598,2017-11-07 13:55:24.123,NA,2017-11-07 13:55:24.123
54,CV 0315,1,395603,2017-11-07 13:55:24.347,NA,2017-11-07 13:55:24.347
55,CV 0316,1,395604,2017-11-07 13:55:24.567,NA,2017-11-07 13:55:24.567
56,CV 0317,1,395605,2017-11-07 13:55:24.8,NA,2017-11-07 13:55:24.8
57,CV 0318,1,395606,2017-11-07 13:55:25.02,NA,2017-11-07 13:55:25.02
58,CV 0289,1,395594,2017-11-07 13:55:25.243,NA,2017-11-07 13:55:25.243
59,CWO0292,1,487259,2017-11-07 13:55:25.463,NA,2017-11-07 13:55:25.463
60,CWO0284,1,487252,2017-11-07 13:55:26.013,NA,2017-11-07 13:55:26.013
61,CWO0298,1,487265,2017-11-07 13:55:26.237,NA,2017-11-07 13:55:26.237
62,CWO0297,1,487264,2017-11-07 13:55:26.457,NA,2017-11-07 13:55:26.457
63,CWO0296,1,487263,2017-11-07 13:55:26.68,NA,2017-11-07 13:55:26.68
64,CWO0295,1,487262,2017-11-07 13:55:26.897,NA,2017-11-07 13:55:26.897
65,CWO0301,1,487267,2017-11-07 13:55:27.12,NA,2017-11-07 13:55:27.12
66,CWO0293,1,487260,2017-11-07 13:55:27.34,NA,2017-11-07 13:55:27.34
67,CWO0302,1,487268,2017-11-07 13:55:27.563,NA,2017-11-07 13:55:27.563
68,CWO0290,1,487258,2017-11-07 13:55:27.787,NA,2017-11-07 13:55:27.787
69,CWO0289,1,487257,2017-11-07 13:55:28.007,NA,2017-11-07 13:55:28.007
70,CWO0288,1,487256,2017-11-07 13:55:28.23,NA,2017-11-07 13:55:28.23
71,CWO0287,1,487255,2017-11-07 13:55:28.45,NA,2017-11-07 13:55:28.45
72,CWO0286,1,487254,2017-11-07 13:55:28.697,NA,2017-11-07 13:55:28.697
73,CV 0271,1,395337,2017-11-07 13:55:28.917,NA,2017-11-07 13:55:28.917
74,CWO0294,1,487261,2017-11-07 13:55:29.143,NA,2017-11-07 13:55:29.143
75,CWO0310,1,487275,2017-11-07 13:55:29.367,NA,2017-11-07 13:55:29.367
76,CV 0063,1,395267,2017-11-07 13:55:29.59,NA,2017-11-07 13:55:29.59
77,CWO0325,1,487282,2017-11-07 13:55:29.823,NA,2017-11-07 13:55:29.823
78,CWO0322,1,487281,2017-11-07 13:55:30.05,NA,2017-11-07 13:55:30.05
79,CWO0321,1,487280,2017-11-07 13:55:30.283,NA,2017-11-07 13:55:30.283
80,CWO0320,1,487279,2017-11-07 13:55:30.507,NA,2017-11-07 13:55:30.507
81,CWO0299,1,487266,2017-11-07 13:55:30.73,NA,2017-11-07 13:55:30.73
82,CWO0316,1,487277,2017-11-07 13:55:30.953,NA,2017-11-07 13:55:30.953
83,CWO0282,1,487251,2017-11-07 13:55:31.167,NA,2017-11-07 13:55:31.167
84,CWO0309,1,487274,2017-11-07 13:55:31.39,NA,2017-11-07 13:55:31.39
85,CWO0308,1,487273,2017-11-07 13:55:31.613,NA,2017-11-07 13:55:31.613
86,CWO0306,1,487272,2017-11-07 13:55:31.837,NA,2017-11-07 13:55:31.837
87,CWO0305,1,487271,2017-11-07 13:55:32.06,NA,2017-11-07 13:55:32.06
88,CWO0304,1,487270,2017-11-07 13:55:32.29,NA,2017-11-07 13:55:32.29
89,CWO0303,1,487269,2017-11-07 13:55:32.51,NA,2017-11-07 13:55:32.51
90,CWO0317,1,487278,2017-11-07 13:55:32.743,NA,2017-11-07 13:55:32.743
91,CV 0268,1,395333,2017-11-07 13:55:32.967,NA,2017-11-07 13:55:32.967
92,CWO0285,1,487253,2017-11-07 13:55:33.197,NA,2017-11-07 13:55:33.197
93,CV 0262,1,395279,2017-11-07 13:55:33.417,NA,2017-11-07 13:55:33.417
94,CV 0263,1,395328,2017-11-07 13:55:33.643,NA,2017-11-07 13:55:33.643
95,CV 0264,1,395329,2017-11-07 13:55:33.863,NA,2017-11-07 13:55:33.863
96,CV 0265,1,395330,2017-11-07 13:55:34.097,NA,2017-11-07 13:55:34.097
97,CV 0260,1,395277,2017-11-07 13:55:34.317,NA,2017-11-07 13:55:34.317
98,CV 0267,1,395332,2017-11-07 13:55:34.55,NA,2017-11-07 13:55:34.55
99,CV 0259,1,395276,2017-11-07 13:55:34.773,NA,2017-11-07 13:55:34.773
100,CV 0269,1,395334,2017-11-07 13:55:35.01,NA,2017-11-07 13:55:35.01
101,WFP0077,1,396171,2017-11-07 13:55:35.337,NA,2017-11-07 13:55:35.337
102,CV 0270,1,395336,2017-11-07 13:55:35.56,NA,2017-11-07 13:55:35.56
103,WFP0048,1,396027,2017-11-07 13:55:35.783,NA,2017-11-07 13:55:35.783
104,CV 0272,1,395338,2017-11-07 13:55:36.02,NA,2017-11-07 13:55:36.02
105,CV 0273,1,395339,2017-11-07 13:55:36.243,NA,2017-11-07 13:55:36.243
106,CV 0266,1,395331,2017-11-07 13:55:36.467,NA,2017-11-07 13:55:36.467
107,CWO0264,1,487243,2017-11-07 13:55:36.697,NA,2017-11-07 13:55:36.697
108,CWO0281,1,487250,2017-11-07 13:55:36.99,NA,2017-11-07 13:55:36.99
109,CWO0280,1,487249,2017-11-07 13:55:37.21,NA,2017-11-07 13:55:37.21
110,CWO0277,1,487248,2017-11-07 13:55:37.423,NA,2017-11-07 13:55:37.423
