Specimen,TH,JAR,JAR_PrevStorage,INVENTORIED,INVENTORY_DATE,CAVIAL,CALTEETH,DECALTEETH,DEVIALS,SECTIONS,VIALSTORE,SLIDESTORE,IMAGE,CurateDate,EditDate,EditUser,RecordCreationDate
0674001,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0674002,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0674003,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0674004,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0674005,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0674006,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0674007,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0674009,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0674010,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0674011,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0674012,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0674013,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0674015,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
0684001,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-21 14:08:38.7,NA,2017-09-21 14:08:38.7
